hypothesis,variable,male_mean,female_mean,p_value,p_corrected_bh,effect_size_r,effect_interpretation,significant_bh
A: Lexical/Interpersonal,ttr,0.7948,0.7143,0.0052,0.008,0.2356,small,True
A: Lexical/Interpersonal,emo_anger,0.1905,0.4103,0.0004,0.0015,0.2319,small,True
A: Lexical/Interpersonal,emo_anticipation,1.2857,3.5769,0.0,0.0004,0.3342,medium,True
A: Lexical/Interpersonal,emo_disgust,0.1746,0.4487,0.0159,0.0208,0.1503,small,True
A: Lexical/Interpersonal,emo_fear,0.3016,0.9103,0.0016,0.0031,0.2218,small,True
A: Lexical/Interpersonal,emo_joy,1.2063,3.4744,0.0002,0.0007,0.3099,medium,True
A: Lexical/Interpersonal,emo_negative,0.5714,1.3846,0.0005,0.0015,0.2691,small,True
A: Lexical/Interpersonal,emo_positive,2.7937,7.8974,0.0016,0.0031,0.264,small,True
A: Lexical/Interpersonal,emo_sadness,0.3492,1.0513,0.008,0.0113,0.1928,small,True
A: Lexical/Interpersonal,emo_surprise,0.5397,1.9487,0.0045,0.0076,0.2164,small,True
A: Lexical/Interpersonal,emo_trust,1.8254,2.641,0.0244,0.0277,0.1867,small,True
A: Lexical/Interpersonal,pron_first,0.0553,0.0742,0.0201,0.0244,0.1952,small,True
A: Lexical/Interpersonal,pron_second,0.0056,0.0027,0.2764,0.2764,0.0622,negligible,False
A: Lexical/Interpersonal,pron_third,0.0203,0.0342,0.0001,0.0007,0.3148,medium,True
A: Lexical/Interpersonal,phatic_expressions,0.4603,0.641,0.0324,0.0344,0.1551,small,True
A: Lexical/Interpersonal,opinion_score,0.3901,0.4733,0.0011,0.0026,0.2754,small,True
A: Lexical/Interpersonal,sentiment,0.4321,0.7172,0.0,0.0,0.4159,medium,True
B: Sentence Structure,sentence_count,3.9524,8.9231,0.0,0.0,0.4661,medium,True
B: Sentence Structure,sentence_length,14.6308,10.7325,0.0039,0.0039,0.2431,small,True
D: Iterative Behavior,iteration_count,2.7302,2.0897,0.0137,0.0137,0.1978,small,True
