participant_id,gender,content,token_count,ttr,pronoun_count,emotion_count
1,female,"standing on the balcony, overlooking the farms at cameron highlands.. clouds hanging very low, passing through the trees as it rains",21,0.9047619047619048,0,0
1,female,"cream coloured walls, with hanging plants in some places. a soft cosy bed with yellow covers. room has a bohemian touch. lots of natural light and white net curtains. a study table by the window",35,0.9142857142857143,0,0
1,female,i do the cleaning my husband does the cooking,9,0.8888888888888888,2,0
1,female,oh i want him to do it.. doesn't mean he does. ,12,1.0,3,0
1,female,how should i communicate?,4,1.0,1,0
1,female,i have gifted my friend almost all kinds of gift. now idk what to gift,15,0.9333333333333333,2,0
1,female,yes help me make a meal plan,7,1.0,1,0
1,female,"i eat everything. no allergies. loose weight. no time or very less time. love chicken, spaghetti, live in karachi pakistan. i am not rich",24,0.875,2,1
1,female,yes help,2,1.0,0,0
1,female,want to become more productive,5,1.0,0,0
3,male,Visualize a memory from my recent vacation with friends in Amsterdam we are cycling through the streets having world famous cookies,21,1.0,2,0
3,male,Help me design my dream room think man cave gaming setup in the a nice corner. Pop culture paraphernalia decorating the room figurines and collectibles and merch. Room should have my dream bed a racing car. Think mancave but with a good skylight for night time,46,0.8043478260869565,3,1
3,male,"Sharing an apartment with 4 people with a shared hallway, kitchen and bathroom help me come up with segregations for household chores",21,0.9047619047619048,1,0
3,male,What should I get for my bestfriends birthday gifted them a day pass at a karting track last year. Think huge car and racing nerd.,25,0.96,3,0
3,male,Help me build a weekly fitness/meal plan I have a snacking habit which I am trying to break. Also go to the gym but inconsistently where I try to hit the stair master and a wide array of muscle exercises.,41,0.8292682926829268,4,0
3,male,I usually skip breakfast and try to do OMAD so structured meal plans dont work for me necessarily. Snacking is a bigger issue when I am doing work on desk.,30,0.9333333333333333,3,0
3,male,Heres my daily routine suggest ways to make me productive. Make a bowl of cereal. Take a shower. Spend some time on the phone. Then start checking messages and emails from work. Get ready for classes. After returning home preparing the days meal. Logging in for work. Going to the gym. Late night gaming session. Sleeping. This usually packed schedule does not leave time to learn important tools for my career. S,72,0.8472222222222222,3,0
13,male,Kassel city enjoy harqulus ,4,1.0,0,1
3,male,Maybe I can limit gaming time incrementally suggest a short term vs long term plan to slowly move towards this goal also make sure this is sustainable as this free time is important to make the day feel less machine like,41,0.8292682926829268,1,1
3,male,Explain photosynthesis like I am a 5 year old. ,8,1.0,1,1
3,male,Make the explanation a more story like whimsical maybe? Something a 5 year old would be engaged in.,17,0.9411764705882353,0,1
3,male,Make the story shorter young people have shorter time spans these days,12,0.9166666666666666,0,0
3,male,Can you explain feminism to me,6,1.0,2,0
3,male,What are the major challenges that feminism faces in terms of arguments for and agaisnt,15,1.0,0,0
3,male,Can you try to explain things more from a more neutral perspective help me understand the anti feminism perspective more.,20,0.85,2,0
3,male,Suggests ways to make a friend who has had a recent breakup feel better,14,0.9285714285714286,0,1
3,male,Help me create a dating profile. I a pop culture nerd. Like to travel. I value a honest career oriented person.,21,0.8571428571428571,3,1
5,male,My bestfriend has his 25th birthday coming week and would like to give him some gift. Suggest me good gift options,21,0.9523809523809523,3,2
11,male,"A warm late afternoon on a quiet beach, golden sunlight casting long shadows over soft white sand, gentle waves lapping at the shore, seashells scattered near the waterline, a book resting open on a wooden beach chair, a cool drink with condensation beads on a small table, distant silhouettes of sailboats on the horizon, the air calm and peaceful with a sense of contentment.",64,0.765625,0,0
12,male,Write an image of person easy a potato,8,1.0,0,0
3,male,Lets refine this a bit need to make it a but less like a chore to read through quick and attention grabbing. Should leave a good first impression,28,0.8571428571428571,0,2
3,male,Let's write a fictional story about a romance between criminals. Bonnie and Clyde style less old timey. More in a current satirical version of the US,27,0.9259259259259259,1,0
5,male,Generate a image from my last vacation where i was on my first trek in germany and had a great experience to see the mountains and cold breeze,28,0.8928571428571429,3,0
5,male,There were few step trenches and few tree cut around,10,0.9,0,0
5,male,I was climbing this step road but with a stick in a hand,13,0.9230769230769231,1,0
5,male,Design a room with one table having laptop and dual screen setup. A small wardrobe and one bed,18,0.8333333333333334,0,0
5,male,I share a apartment with 3 of my university batchmates and would like to help divide household chores ,17,1.0,2,1
5,male,The 1st guy has morning shift from Monday to Wednesday 8 to 5,11,0.9090909090909091,0,0
5,male,The 2nd and the 3rd guy go on shift from mon to fri from 5 to 9pm evening adjust the plan as so that all have got proper assignment and all the 3 are free on weekend,35,0.7714285714285715,0,0
42,male,a men achived everything in life ,6,1.0,0,0
5,male,Could you please suggest me a weekly fitness and meal plan for my weight loss as currently i am overweight,20,1.0,4,0
5,male,As a Masters student i would like to manage my day in such a way that i could study cook and focus on my productivity ,25,0.88,4,1
5,male,Is it possible for you to alter the table to include gym as well,14,0.9285714285714286,1,0
5,male,Help me teach a 5 year old how photosythesis works,9,1.0,1,0
5,male,make the explanation more short and in fun to understand with some visualization,13,1.0,0,0
5,male,What is feminism,3,1.0,0,0
6,male,"Wtf, first image was ok but just don't make the boat overcrowded ",13,1.0,0,0
11,male,"A modern cozy bedroom with a queen-sized bed covered in soft neutral linens, warm ambient lighting from wall sconces and a bedside lamp, a large window with sheer curtains letting in natural daylight, a small reading nook with a plush armchair and a round wooden side table, indoor plants adding greenery, minimalist wooden shelves with neatly arranged books and decor, light oak flooring, and a soft textured rug creating a calm and inviting atmosphere.",75,0.76,0,0
5,male,how has it changed over time,6,1.0,0,0
5,male,What are the major arguments for and against it today,10,1.0,0,0
5,male,Summarize the chat,3,1.0,0,0
5,male,Write a fictional story about the boy having wings and could fly a side of plane and reach home,19,0.8947368421052632,0,0
5,male,Creata a dating profile bio for me who is introvert and like to have a nice evening coffee dates. Who likes to play football and also playstation. Hangout for late night movie and some club party,36,0.8333333333333334,1,1
5,male,Yesterday my friend had a break with his girlfriend which was lasted for 2 years and currently is going through difficult time and feeling low. How could i support him ,29,0.9655172413793104,3,0
